"Do not remember my cards","Neukládat platební karty, kterými platím"
"In case of paying by card, the card's reference number will be saved for further payments.","V případě volby platby platební kartou… bude do paměti uloženo referenční číslo karty pro budoucí transakce"
"Order details","Detaily objednávky"
"Pay with Przelewy24","Zaplaťte prostřednictvím Przelewy24"
"This payment will be increased by","Platba bude navýšena o částku"
"Yes, I have read and accept","Ano, přečetl jsem si a souhlasím."
"Przelewy24.pl terms","Obchodní podmínky Przelewy24"
"More payment methods","Zobrazit více plateb"
"Recently used","Naposledy použité"
"Use card","Použijte kartu"
"Are You sure?","Jste si jist?"
"Payment by card","Platba KARTOU"
"Cardholder name","Jméno a příjmení"
"Card number","Číslo karty"
"Expiry date","Datum platnosti"
"Confirm","Zaplatit"
"Click here to continue shopping","Pro pokračování v nákupech klikněte zde"
"My payment cards","Moje platební karty"
"Payment cards not found.","Platební karty nebyly nalezeny"
"Your payment cards are listed below.","Uložené platební karty"
"Waiting for payment.","Čekání na platbu"
"The payment has been accepted.","Platba byla schválena"
"Payment error.","Při platbě došlo k chybě"
"Your card","Vaše karta"
"The link for payment with Przelewy24 has been sent by e-mail","Na Váš e-mail byl odeslán odkaz pro provedení platby z Przelewy24"
"Thank you for your payment.","Děkujeme za provedenou platbu."
"IVR payment with P24","Platby IVR s P24"
"Are you sure you want to start the payment process by Przelewy24 IVR and call the customer back?","Jste si jisti, že chcete spustit proces plateb přes IVR Przelewy24 a zavolat Klientovi?"
"Send an e-mail with the link for P24","Odeslat e-mailem odkaz na P24"
"Are you sure you want to send the customer an e-mail link and start the payment process with Przelewy24?","Skutečně chcete e-mailem odeslat klientovi odkaz z plateb Przelewy24?"
"Order payment","Platba za objednávku "
"To confirm your order make the payment by clicking on the link below","Pro potvrzení objednávky proveďte platbu kliknutím na níže uvedený odkaz"
"Make a payment","Platba za objednávku"
"Przelewy24 - My Credit Cards","Przelewy24 – Moje platební karty"
"Przelewy24 - continue order payment","Przelewy24 – pokračovat v platbě za objednávku"
"Przelewy24 - Refunds","Przelewy24 – Zpětné platby"
"Send refund to Przelewy24","Odeslat zpět platbu do Przelewy24"
"SOAP extension is not installed!","Rozšíření SOAP není nainstalováno!"
"Here you can send a refund to the customer. The amount of the refund may not exceed the value of the transaction and the amount of funds available in your account.","Zde můžete zadat zpětné odeslání plateb klientovi.  Výše vrácené částky nesmí přesáhnout hodnotu transakce a také výši zůstatku na účtu."
"Amount to refund","Zůstatek k vrácení"
"Error","Chyba"
"Completed","Provedeno"
"Pending","Čeká na vyřízení"
"Rejected","Zamítnuto"
"Unknown status","Neznámý status"
"This will generate outgoing transfer. Can you confirm the operation?","Bude vygenerována odchozí platba. Potvrdit operaci?"
"The payment has already been fully refunded - no funds to make further returns","Platba byla již v plné výši využita – nedostatek prostředků k provedení dalších zpětných plateb."
"Allowed amount range","Přípustný rozsah částky"
"Refund was successful","Zpětná platba byla provedena správně"
"The payment has already been fully refunded - no funds to make further returns.","Platba byla již v plné výši využita – nedostatek prostředků k provedení dalších zpětných plateb."
"Refund processing error!","Chyba při zpracovávání zpětné platby"
"Przelewy24 - refunds list","Przelewy24 – seznam zpětných plateb"
"Amount","Částka"
"Date of refund","Datum zpětné platby"
"Amount refunded","Vrácená částka"
"There is no refunds.","Bez zpětných plateb"
"Suspended","Pozastaveno"
"Confirm order required to pay","Podání objednávky s povinností provedení úhrady"
"Place Order","Potvrzuji objednávku"
"Extra charge [VAT and discounts]","Rozdíl (DPH a slevy)"
"Your order","Vaše objednávka"


"Przelewy24 settings","Nastavení Przelewy24"
"Keys","Klíče"
"API key","Klíč API"
"Google Analytics key","Klíč Google Analytics"
"You can get API key from Przelewy24 dashboard, from my data tab","Klíč API je nutné stáhnout z panelu Przelewy24 v záložce Moje údaje"
"Oneclick payments","Platby oneclick"
"Payments inside shop","Platba kartou… v rámci obchodu"
"Allows to pay by credit/debit card without leaving the store website","Umožňuje platby platební kartou bez opuštění stránek obchodu"
"Payment methods","Metody platby"
"Show available payment methods in shop","Zobrazit platební metody dostupné v obchodě"
"Customer can chose payment method on confirmation page","Zákazník si může zvolit platební metodu na stránce s potvrzením objednávky"
"Additional settings","Další nastavení"
"Promote some payment methods","Rozlišit zvolené firmy platby"
"Selected items will be shown next to other payments gateways","Uvedené položky se objevují vedle jiných poskytovatelů plateb. Můžete měnit jejich pořadí."
"Payment Settings","Nastavení plateb"
"Use graphics list of payment methods","Použít grafický seznam plateb"
"Acceptation of Przelewy24 conditions","Schválení podmínek Przelewy24"
